fhrs_id,business_name,business_type,rating_value,rating_date,new_rating_pending,address_line_3,post_code,rating_value_num,rating_value_text,rating_year,rating_month,postcode_area,rating_category
1817315,Paradise Mini Market,Retailers - other,4,2019-11-08,False,Manchester,M14 4LP,4,,2019,11,M14,Good
1892425,Paradise Sips also T/as Deserts,Other catering premises,AwaitingInspection,,False,,,,AwaitingInspection,,,,Unknown
1818489,Paradise Skate World,Restaurant/Cafe/Canteen,AwaitingInspection,,False,Manchester,M3 4EN,,AwaitingInspection,,,M3,Unknown
1817070,Paradise Takeaway,Takeaway/sandwich shop,5,2025-09-18,False,Manchester,M13 0RQ,5,,2025,9,M13,Excellent
1817311,Paratha Hut,Mobile caterer,3,2025-05-19,False,Manchester,M12 4QN,3,,2025,5,M12,Satisfactory
1821853,Paratha Royale,Restaurant/Cafe/Canteen,5,2025-05-21,False,Manchester,M8 9LJ,5,,2025,5,M8,Excellent
1819812,Parish Church Of The Apostles,Other catering premises,5,2025-03-14,False,Manchester,M40 7FY,5,,2025,3,M40,Excellent
1820585,Park Ices - DG11 0XW,Mobile caterer,5,2022-11-18,False,Manchester,M23 0AB,5,,2022,11,M23,Excellent
1820583,Park Ices - Reg NC55 MPF,Mobile caterer,5,2022-11-10,False,Manchester,,5,,2022,11,,Excellent
1820584,Park Ices - Reg YA66 FPF,Mobile caterer,5,2022-11-18,False,Manchester,M18 7LJ,5,,2022,11,M18,Excellent
1820032,Park Life Cafe - Lakeside,Restaurant/Cafe/Canteen,5,2024-07-17,False,Manchester,M25 2SW,5,,2024,7,M25,Excellent
1820034,Park Life Cafe - The Stables,Restaurant/Cafe/Canteen,4,2024-07-17,False,Manchester,M25 2SW,4,,2024,7,M25,Good
1817969,Park View Community Primary School,School/college/university,5,2025-12-17,False,Manchester,M40 7EJ,5,,2025,12,M40,Excellent
1819336,Park View Residential Home,Hospitals/Childcare/Caring Premises,5,2026-03-09,False,Manchester,M11 4WH,5,,2026,3,M11,Excellent
1819937,Parkland Hotel,Hotel/bed & breakfast/guest house,4,2015-05-11,False,Manchester,M40 8LJ,4,,2015,5,M40,Good
1820281,Parkside Convenience Store,Retailers - other,5,2022-01-06,False,Manchester,M14 7HS,5,,2022,1,M14,Excellent
1923210,Parkview,Pub/bar/nightclub,AwaitingInspection,,False,Manchester,M9 0QJ,,AwaitingInspection,,,M9,Unknown
1820813,Parkway Cafe,Restaurant/Cafe/Canteen,5,2023-11-30,False,Manchester,M14 7HR,5,,2023,11,M14,Excellent
1906889,Parkway Sandwich Bar,Restaurant/Cafe/Canteen,3,2025-12-05,False,Manchester,M21 8AG,3,,2025,12,M21,Satisfactory
1819728,Parlour Vapes,Restaurant/Cafe/Canteen,5,2017-08-29,False,Manchester,M15 4EY,5,,2017,8,M15,Excellent
1818343,Parmogeddon,Mobile caterer,AwaitingInspection,,False,Manchester,M1 1LY,,AwaitingInspection,,,M1,Unknown
1821699,Parmogeddon also T/as Pop Up Parmogeddon,Restaurant/Cafe/Canteen,5,2024-12-19,False,Manchester,M4 4AH,5,,2024,12,M4,Excellent
1923324,Parosna,Restaurant/Cafe/Canteen,AwaitingInspection,,False,Manchester,M20 6TW,,AwaitingInspection,,,M20,Unknown
1819297,Parrs Wood High School,School/college/university,5,2025-01-28,False,Manchester,M20 5PG,5,,2025,1,M20,Excellent
1943788,Partou Little Faces Manchester Airport,Hospitals/Childcare/Caring Premises,AwaitingInspection,,False,Manchester,WA15 8UN,,AwaitingInspection,,,WA15,Unknown
1822099,Party Plug,Retailers - other,3,2025-03-20,False,Manchester,M12 4RX,3,,2025,3,M12,Satisfactory
1816914,Passion 'n 'Bake,Manufacturers/packers,5,2023-02-09,False,,,5,,2023,2,,Excellent
1831101,PASTA CHRONICLES,Takeaway/sandwich shop,4,2025-06-13,False,Manchester,M12 6AE,4,,2025,6,M12,Good
1923143,Pasta Chronicles Halal,Takeaway/sandwich shop,AwaitingInspection,,False,Manchester,M12 6FA,,AwaitingInspection,,,M12,Unknown
1820995,Pasta Evangelists,Takeaway/sandwich shop,5,2024-05-22,False,Manchester,M12 6AE,5,,2024,5,M12,Excellent
1821772,Pasta Evangelists,Takeaway/sandwich shop,5,2025-08-14,False,Manchester,M90 1QX,5,,2025,8,M90,Excellent
1818617,Pasta Factory,Restaurant/Cafe/Canteen,5,2023-12-08,False,Manchester,M4 4AN,5,,2023,12,M4,Excellent
1821287,Pasty Shop,Restaurant/Cafe/Canteen,5,2023-12-18,False,Manchester,M1 2PA,5,,2023,12,M1,Excellent
1821887,Patels Pies,Mobile caterer,5,2024-12-20,False,Manchester,M12 4AH,5,,2024,12,M12,Excellent
1906808,Pattersons,Takeaway/sandwich shop,AwaitingInspection,,False,Manchester,M1 2PZ,,AwaitingInspection,,,M1,Unknown
1821507,Pattie Shack,Mobile caterer,5,2023-08-18,False,Manchester,M4 4EN,5,,2023,8,M4,Excellent
1894566,Paul Smith Ltd,Retailers - other,AwaitingInspection,,False,Manchester,M1 1AD,,AwaitingInspection,,,M1,Unknown
1870811,Paula's Caribbean kitchen,Distributors/Transporters,AwaitingInspection,,False,,,,AwaitingInspection,,,,Unknown
1831216,Pausa,Restaurant/Cafe/Canteen,5,2025-08-07,False,Manchester,M8 8EP,5,,2025,8,M8,Excellent
1816912,Pavilion Café,Restaurant/Cafe/Canteen,5,2025-06-23,False,Manchester,M20 6WH,5,,2025,6,M20,Excellent
1849356,payal,Other catering premises,5,2025-10-16,False,Manchester,M12 6HR,5,,2025,10,M12,Excellent
1821928,Payal and Zayyan,Restaurant/Cafe/Canteen,5,2025-03-11,False,Manchester,M1 5GD,5,,2025,3,M1,Excellent
1894505,PAYLESS MINIMARKET STORE LTD,Retailers - other,4,2026-01-22,False,Manchester,M18 7BG,4,,2026,1,M18,Good
1923280,Pazito Mart,Other catering premises,AwaitingInspection,,False,,,,AwaitingInspection,,,,Unknown
1816635,PCG Co Limited - Off Licence,Retailers - other,5,2025-11-27,False,Manchester,M8 6HF,5,,2025,11,M8,Excellent
1819956,Peace Garden Restaurant,Restaurant/Cafe/Canteen,5,2023-08-01,False,Manchester,M15 6PQ,5,,2023,8,M15,Excellent
1906826,Peace's Cupcakes,Other catering premises,AwaitingInspection,,False,,,,AwaitingInspection,,,,Unknown
1943790,Peaches Flavas,Mobile caterer,AwaitingInspection,,False,,,,AwaitingInspection,,,,Unknown
1820646,Peaky Blinders,Pub/bar/nightclub,4,2025-05-21,False,Manchester,M2 5QJ,4,,2025,5,M2,Good
1818154,Pebble and Friends,Mobile caterer,5,2022-10-14,False,Manchester,M23 0AB,5,,2022,10,M23,Excellent
1817917,Peel Hall Primary Academy,School/college/university,5,2025-05-14,False,Manchester,M22 5AU,5,,2025,5,M22,Excellent
1818618,Peer Hat,Pub/bar/nightclub,5,2025-05-05,False,Manchester,M1 1BE,5,,2025,5,M1,Excellent
1819595,Pehelwan Original Lahori Ice Bar,Restaurant/Cafe/Canteen,4,2025-08-19,False,Manchester,M14 5AL,4,,2025,8,M14,Good
